obs,year,period,state,age,fatal,male,female,single,multiple,lnpop,lnpopm,lnpopf,unempl,gdl,gdl3,gdl2,gdl1,beltsc,beltpr,bac08,zerotol,alr,sp70,sp65
1,1990,1,1,16,16,8,8,11,5,10.98,10.31,10.26,6.4,0,0,0,0,0,0,0,0,0,0,0
2,1991,2,1,16,20,14,6,16,4,11,10.33,10.28,6.8,0,0,0,0,0,0,0,0,0,0,0
3,1992,3,1,16,14,9,5,6,8,10.97,10.31,10.25,6.9,0,0,0,0,1,0,0,0,0,0,0
4,1993,4,1,16,14,10,4,9,5,11.01,10.35,10.29,6.6,0,0,0,0,1,0,0,0,0,0,0
5,1994,5,1,16,22,14,8,14,8,11.02,10.35,10.3,5.4,0,0,0,0,1,0,0,0,0,0,0
6,1995,6,1,16,23,14,9,14,9,11.03,10.37,10.31,5.1,0,0,0,0,1,0,0,0,0,0,0
7,1996,7,1,16,18,9,9,11,7,11.07,10.41,10.35,4.5,0,0,0,0,1,0,1,0,0,0,0
8,1997,8,1,16,18,13,5,10,8,11.05,10.39,10.33,4.4,0,0,0,0,1,0,1,1,1,1,1
9,1998,9,1,16,17,11,6,10,7,11.04,10.37,10.31,3.9,0,0,0,0,1,0,1,1,1,1,1
10,1999,10,1,16,16,9,7,9,7,11.01,10.35,10.29,4.2,0,0,0,0,1,0,1,1,1,1,1
11,2000,11,1,16,20,13,7,10,10,11.06,10.39,10.35,4,0,0,0,0,1,1,1,1,1,1,1
12,2001,12,1,16,11,4,7,8,3,11.07,10.4,10.36,4.6,0,0,0,0,1,1,1,1,1,1,1
13,2002,13,1,16,17,12,5,14,3,11.06,10.39,10.35,5.3,0,0,0,0,1,1,1,1,1,1,1
14,2003,14,1,16,16,12,4,11,5,11.05,10.39,10.33,5.4,1,0,1,0,1,1,1,1,1,1,1
15,2004,15,1,16,20,11,9,17,3,11.05,10.38,10.33,5,1,0,1,0,1,1,1,1,1,1,1
16,2005,16,1,16,15,13,2,7,8,11.07,10.4,10.36,3.8,1,0,1,0,1,1,1,1,1,1,1
17,2006,17,1,16,7,2,5,6,1,11.13,10.46,10.41,3.5,1,0,1,0,1,1,1,1,1,1,1
18,2007,18,1,16,10,5,5,9,1,11.1,10.43,10.39,3.4,1,0,1,0,1,1,1,1,1,1,1
19,2008,19,1,16,12,11,1,9,3,11.09,10.41,10.38,5.1,1,0,1,0,1,1,1,1,1,1,1
20,2009,20,1,16,12,5,7,8,4,11.09,10.41,10.37,9.7,1,0,1,0,1,1,1,1,1,1,1
21,1990,1,4,16,5,4,1,1,4,10.81,10.14,10.09,5.2,0,0,0,0,0,0,0,0,0,0,0
22,1991,2,4,16,7,5,2,4,3,10.85,10.18,10.12,5.9,0,0,0,0,1,0,0,1,0,0,0
23,1992,3,4,16,2,2,0,1,1,10.84,10.18,10.12,7.4,0,0,0,0,1,0,0,1,0,0,0
24,1993,4,4,16,2,1,1,2,0,10.91,10.25,10.19,6.3,0,0,0,0,1,0,0,1,0,0,0
25,1994,5,4,16,4,2,2,1,3,10.92,10.26,10.2,6.1,0,0,0,0,1,0,0,1,0,0,0
26,1995,6,4,16,13,8,5,9,4,11,10.33,10.27,5.4,0,0,0,0,1,0,0,1,0,0,0
27,1996,7,4,16,7,6,1,3,4,11.07,10.41,10.35,5.5,0,0,0,0,1,0,0,1,0,1,0
28,1997,8,4,16,6,5,1,5,1,11.09,10.42,10.36,4.6,0,0,0,0,1,0,0,1,0,1,0
29,1998,9,4,16,7,2,5,3,4,11.14,10.48,10.42,4.3,0,0,0,0,1,0,0,1,0,1,0
30,1999,10,4,16,4,4,0,1,3,11.17,10.5,10.45,4.5,0,0,0,0,1,0,0,1,0,1,0
31,2000,11,4,16,6,4,2,3,3,11.18,10.52,10.44,4.1,0,0,0,0,1,0,0,1,0,1,0
32,2001,12,4,16,5,1,4,4,1,11.23,10.57,10.5,4.7,0,0,0,0,1,0,0,1,0,1,0
33,2002,13,4,16,6,4,2,5,1,11.25,10.59,10.53,6,0,0,0,0,1,0,1,1,1,1,0
34,2003,14,4,16,8,6,2,5,3,11.27,10.6,10.55,5.7,0,0,0,0,1,0,1,1,1,1,0
35,2004,15,4,16,6,3,3,4,2,11.3,10.64,10.58,5,0,0,0,0,1,0,1,1,1,1,0
36,2005,16,4,16,3,2,1,0,3,11.34,10.68,10.61,4.7,0,0,0,0,1,0,1,1,1,1,0
37,2006,17,4,16,4,2,2,3,1,11.41,10.75,10.69,4.1,0,0,0,0,1,0,1,1,1,1,0
38,2007,18,4,16,5,1,4,3,2,11.41,10.75,10.69,3.8,0,0,0,0,1,0,1,1,1,1,0
39,2008,19,4,16,2,0,2,1,1,11.42,10.76,10.7,5.9,0,0,0,0,1,0,1,1,1,1,0
40,2009,20,4,16,4,0,4,2,2,11.42,10.76,10.7,9.7,1,0,1,0,1,0,1,1,1,1,0
41,1990,1,5,16,6,4,2,4,2,10.45,9.8,9.71,6.8,0,0,0,0,0,0,0,0,0,0,0
42,1991,2,5,16,9,5,4,6,3,10.47,9.82,9.73,7.2,0,0,0,0,0,0,0,0,0,0,0
43,1992,3,5,16,6,5,1,3,3,10.46,9.81,9.72,7.1,0,0,0,0,1,0,0,0,0,0,0
44,1993,4,5,16,6,3,3,3,3,10.51,9.86,9.77,6.1,0,0,0,0,1,0,0,0,0,0,0
45,1994,5,5,16,6,4,2,3,3,10.51,9.87,9.77,5.3,0,0,0,0,1,0,0,1,0,0,0
46,1995,6,5,16,9,8,1,8,1,10.55,9.9,9.81,4.8,0,0,0,0,1,0,0,1,0,0,0
47,1996,7,5,16,7,3,4,4,3,10.6,9.95,9.86,5.1,0,0,0,0,1,0,0,1,0,0,0
48,1997,8,5,16,11,6,5,4,7,10.59,9.94,9.85,5.1,0,0,0,0,1,0,0,1,0,1,0
49,1998,9,5,16,5,1,4,3,2,10.59,9.94,9.85,5,0,0,0,0,1,0,0,1,0,1,0
50,1999,10,5,16,8,7,1,6,2,10.58,9.93,9.84,4.5,0,0,0,0,1,0,0,1,0,1,0
51,2000,11,5,16,10,3,7,6,4,10.59,9.93,9.86,4.2,1,1,0,0,1,0,0,1,0,1,0
52,2001,12,5,16,6,3,3,5,1,10.59,9.93,9.86,4.7,1,1,0,0,1,0,0,1,0,1,0
53,2002,13,5,16,18,13,5,12,6,10.58,9.92,9.85,5.3,1,1,0,0,1,0,1,1,1,1,0
54,2003,14,5,16,7,3,4,5,2,10.57,9.9,9.85,5.8,1,1,0,0,1,0,1,1,1,1,0
55,2004,15,5,16,6,2,4,3,3,10.58,9.92,9.85,5.6,1,1,0,0,1,0,1,1,1,1,0
56,2005,16,5,16,11,7,4,6,5,10.59,9.92,9.86,5.1,1,1,0,0,1,0,1,1,1,1,0
57,2006,17,5,16,4,2,2,2,2,10.63,9.96,9.91,5.3,1,1,0,0,1,0,1,1,1,1,0
58,2007,18,5,16,8,6,2,5,3,10.62,9.96,9.89,5.2,1,1,0,0,1,0,1,1,1,1,0
59,2008,19,5,16,6,4,2,5,1,10.6,9.94,9.88,5.3,1,1,0,0,1,0,1,1,1,1,0
60,2009,20,5,16,6,5,1,4,2,10.59,9.91,9.87,7.4,1,0,0,0,1,0,1,1,1,1,1
61,1990,1,6,16,32,21,11,19,13,12.85,12.2,12.12,5.8,0,0,0,0,1,0,0,0,0,0,0
62,1991,2,6,16,34,26,8,21,13,12.88,12.23,12.14,7.8,0,0,0,0,1,0,1,1,1,0,0
63,1992,3,6,16,29,21,8,14,15,12.86,12.21,12.12,9.4,0,0,0,0,1,0,1,1,1,0,0
64,1993,4,6,16,29,15,14,19,10,12.9,12.24,12.16,9.6,0,0,0,0,1,1,1,1,1,0,0
65,1994,5,6,16,30,24,6,14,16,12.89,12.24,12.16,8.6,0,0,0,0,1,1,1,1,1,0,0
66,1995,6,6,16,18,14,4,14,4,12.92,12.27,12.19,7.9,0,0,0,0,1,1,1,1,1,0,0
67,1996,7,6,16,27,16,11,13,14,12.98,12.33,12.25,7.3,0,0,0,0,1,1,1,1,1,1,1
68,1997,8,6,16,18,10,8,12,6,12.98,12.33,12.25,6.4,0,0,0,0,1,1,1,1,1,1,1
69,1998,9,6,16,27,15,12,15,12,13,12.35,12.27,6,0,0,0,0,1,1,1,1,1,1,1
70,1999,10,6,16,22,15,7,11,11,13,12.35,12.26,5.3,1,0,0,1,1,1,1,1,1,1,1
71,2000,11,6,16,21,12,9,14,7,13.09,12.43,12.36,5,1,0,0,1,1,1,1,1,1,1,1
72,2001,12,6,16,16,9,7,11,5,13.12,12.45,12.4,5.4,1,0,0,1,1,1,1,1,1,1,1
73,2002,13,6,16,23,16,7,17,6,13.12,12.46,12.4,6.7,1,0,0,1,1,1,1,1,1,1,1
74,2003,14,6,16,22,15,7,12,10,13.13,12.47,12.41,6.9,1,0,0,1,1,1,1,1,1,1,1
75,2004,15,6,16,20,12,8,12,8,13.16,12.49,12.44,6.2,1,0,0,1,1,1,1,1,1,1,1
76,2005,16,6,16,28,14,14,16,12,13.18,12.51,12.46,5.4,1,0,0,1,1,1,1,1,1,1,1
77,2006,17,6,16,21,14,7,16,5,13.23,12.56,12.51,4.9,1,0,0,1,1,1,1,1,1,1,1
78,2007,18,6,16,12,10,2,7,5,13.22,12.55,12.5,5.4,1,0,0,1,1,1,1,1,1,1,1
79,2008,19,6,16,8,4,4,5,3,13.21,12.54,12.49,7.2,1,0,0,1,1,1,1,1,1,1,1
80,2009,20,6,16,7,6,1,4,3,13.19,12.52,12.47,11.3,1,0,0,1,1,1,1,1,1,1,1
81,1990,1,8,16,5,4,1,2,3,10.66,10,9.94,5.2,0,0,0,0,1,0,0,0,0,0,0
82,1991,2,8,16,6,3,3,4,2,10.7,10.04,9.97,5.4,0,0,0,0,1,0,0,0,0,0,0
83,1992,3,8,16,3,1,2,2,1,10.72,10.06,10,6,0,0,0,0,1,0,0,0,0,0,0
84,1993,4,8,16,10,8,2,7,3,10.78,10.12,10.06,5.3,0,0,0,0,1,0,0,0,0,0,0
85,1994,5,8,16,6,3,3,5,1,10.8,10.14,10.08,4.2,0,0,0,0,1,0,0,0,0,0,0
86,1995,6,8,16,10,6,4,6,4,10.85,10.19,10.12,4,0,0,0,0,1,0,0,0,0,0,0
87,1996,7,8,16,10,7,3,3,7,10.92,10.26,10.19,4.2,0,0,0,0,1,0,0,0,0,0,0
88,1997,8,8,16,12,6,6,6,6,10.95,10.29,10.22,3.4,0,0,0,0,1,0,0,0,0,1,1
89,1998,9,8,16,10,7,3,5,5,11.01,10.34,10.28,3.6,0,0,0,0,1,0,0,1,0,1,1
90,1999,10,8,16,11,8,3,8,3,11.03,10.37,10.3,3.1,0,0,0,0,1,0,0,1,0,1,1
91,2000,11,8,16,2,1,1,1,1,11.02,10.36,10.29,2.8,1,0,1,0,1,0,0,1,1,1,1
92,2001,12,8,16,2,1,1,0,2,11.06,10.4,10.33,3.8,1,0,1,0,1,0,0,1,1,1,1
93,2002,13,8,16,9,6,3,8,1,11.06,10.4,10.34,5.6,1,0,1,0,1,0,0,1,1,1,1
94,2003,14,8,16,13,7,6,5,8,11.07,10.41,10.34,6.1,1,0,1,0,1,0,0,1,1,1,1
95,2004,15,8,16,9,6,3,3,6,11.07,10.4,10.34,5.6,1,0,1,0,1,0,0,1,1,1,1
96,2005,16,8,16,2,1,1,1,1,11.07,10.4,10.35,5.1,1,0,0,0,1,0,1,1,1,1,1
97,2006,17,8,16,7,3,4,4,3,11.11,10.45,10.39,4.3,1,0,0,1,1,0,1,1,1,1,1
98,2007,18,8,16,3,3,0,1,2,11.1,10.44,10.38,3.7,1,0,0,1,1,0,1,1,1,1,1
99,2008,19,8,16,2,2,0,1,1,11.1,10.43,10.38,4.8,1,0,0,1,1,0,1,1,1,1,1
100,2009,20,8,16,4,2,2,3,1,11.09,10.42,10.38,8.3,1,0,0,1,1,0,1,1,1,1,1
101,1990,1,9,16,4,4,0,2,2,10.55,9.89,9.82,4.9,0,0,0,0,1,1,0,0,0,0,0
102,1991,2,9,16,2,1,1,0,2,10.56,9.9,9.84,6.4,0,0,0,0,1,1,0,0,0,0,0
103,1992,3,9,16,3,2,1,1,2,10.53,9.87,9.81,7.3,0,0,0,0,1,1,0,0,0,0,0
104,1993,4,9,16,5,5,0,3,2,10.57,9.91,9.85,6.4,0,0,0,0,1,1,0,0,0,0,0
105,1994,5,9,16,0,0,0,0,0,10.57,9.91,9.85,5.4,0,0,0,0,1,1,0,0,0,0,0
